Summary of parameters for genome-wide cytosine report:
==============================================================================
Coverage infile:				output/25-meth-extract/93M_pe.deduplicated.bismark.cov.gz
Output directory:				><
Parent directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/<
Genome directory:				>/home/shared/16TB_HDD_01/sr320/github/project-mytilus-methylation/output/22-genome-prep/<
Coverage threshold				0 (all positions will be reported, default)
CX context:					no (CpG context only, default)
Pooling CpG top/bottom strand evidence:		yes
Genome coordinates used:			0-based (user specified)
GZIP compression:				no
Writing cytosine report for chromosome NW_026963358.1 (stored 94 different covered positions)
Writing cytosine report for chromosome NW_026963359.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963360.1 (stored 1456 different covered positions)
Writing cytosine report for chromosome NW_026963361.1 (stored 53 different covered positions)
Writing cytosine report for chromosome NW_026963362.1 (stored 350 different covered positions)
Writing cytosine report for chromosome NW_026963363.1 (stored 8389 different covered positions)
Writing cytosine report for chromosome NW_026963364.1 (stored 1378 different covered positions)
Writing cytosine report for chromosome NW_026963365.1 (stored 123 different covered positions)
Writing cytosine report for chromosome NW_026963366.1 (stored 597 different covered positions)
Writing cytosine report for chromosome NW_026963367.1 (stored 524 different covered positions)
Writing cytosine report for chromosome NW_026963368.1 (stored 910 different covered positions)
Writing cytosine report for chromosome NW_026963369.1 (stored 288 different covered positions)
Writing cytosine report for chromosome NW_026963370.1 (stored 16017 different covered positions)
Writing cytosine report for chromosome NW_026963371.1 (stored 6540 different covered positions)
Writing cytosine report for chromosome NW_026963372.1 (stored 11701 different covered positions)
Writing cytosine report for chromosome NW_026963373.1 (stored 280 different covered positions)
Writing cytosine report for chromosome NW_026963374.1 (stored 425 different covered positions)
Writing cytosine report for chromosome NW_026963375.1 (stored 1220 different covered positions)
Writing cytosine report for chromosome NW_026963376.1 (stored 393 different covered positions)
Writing cytosine report for chromosome NW_026963377.1 (stored 15 different covered positions)
Writing cytosine report for chromosome NW_026963378.1 (stored 6787 different covered positions)
Writing cytosine report for chromosome NW_026963379.1 (stored 21 different covered positions)
Writing cytosine report for chromosome NW_026963380.1 (stored 83 different covered positions)
Writing cytosine report for chromosome NW_026963381.1 (stored 27 different covered positions)
Writing cytosine report for chromosome NW_026963382.1 (stored 379 different covered positions)
Writing cytosine report for chromosome NW_026963383.1 (stored 1056 different covered positions)
Writing cytosine report for chromosome NW_026963384.1 (stored 72 different covered positions)
Writing cytosine report for chromosome NW_026963385.1 (stored 434 different covered positions)
Writing cytosine report for chromosome NW_026963386.1 (stored 278 different covered positions)
Writing cytosine report for chromosome NW_026963387.1 (stored 242 different covered positions)
Writing cytosine report for chromosome NW_026963388.1 (stored 114 different covered positions)
Writing cytosine report for chromosome NW_026963389.1 (stored 11 different covered positions)
Writing cytosine report for chromosome NW_026963390.1 (stored 1552 different covered positions)
Writing cytosine report for chromosome NW_026963391.1 (stored 377 different covered positions)
Writing cytosine report for chromosome NW_026963392.1 (stored 184 different covered positions)
Writing cytosine report for chromosome NW_026963393.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963394.1 (stored 25 different covered positions)
Writing cytosine report for chromosome NW_026963395.1 (stored 263 different covered positions)
Writing cytosine report for chromosome NW_026963396.1 (stored 465 different covered positions)
Writing cytosine report for chromosome NW_026963397.1 (stored 113 different covered positions)
Writing cytosine report for chromosome NW_026963398.1 (stored 91 different covered positions)
Writing cytosine report for chromosome NW_026963399.1 (stored 220 different covered positions)
Writing cytosine report for chromosome NW_026963400.1 (stored 608 different covered positions)
Writing cytosine report for chromosome NW_026963401.1 (stored 63 different covered positions)
Writing cytosine report for chromosome NW_026963402.1 (stored 1225 different covered positions)
Writing cytosine report for chromosome NW_026963403.1 (stored 33 different covered positions)
Writing cytosine report for chromosome NW_026963404.1 (stored 196 different covered positions)
Writing cytosine report for chromosome NW_026963405.1 (stored 61 different covered positions)
Writing cytosine report for chromosome NW_026963406.1 (stored 74 different covered positions)
Writing cytosine report for chromosome NW_026963407.1 (stored 23 different covered positions)
Writing cytosine report for chromosome NW_026963408.1 (stored 2725 different covered positions)
Writing cytosine report for chromosome NW_026963409.1 (stored 204 different covered positions)
Writing cytosine report for chromosome NW_026963410.1 (stored 1592 different covered positions)
Writing cytosine report for chromosome NW_026963411.1 (stored 54 different covered positions)
Writing cytosine report for chromosome NW_026963412.1 (stored 117 different covered positions)
Writing cytosine report for chromosome NW_026963413.1 (stored 1 different covered positions)
Writing cytosine report for chromosome NW_026963414.1 (stored 115 different covered positions)
Writing cytosine report for chromosome NW_026963415.1 (stored 439 different covered positions)
Writing cytosine report for chromosome NW_026963416.1 (stored 234 different covered positions)
Writing cytosine report for chromosome NW_026963417.1 (stored 317 different covered positions)
Writing cytosine report for chromosome NW_026963418.1 (stored 2916 different covered positions)
Writing cytosine report for chromosome NW_026963419.1 (stored 734 different covered positions)
Writing cytosine report for chromosome NW_026963420.1 (stored 55 different covered positions)
Writing cytosine report for chromosome NW_026963421.1 (stored 161 different covered positions)
Writing cytosine report for chromosome NW_026963422.1 (stored 20 different covered positions)
Writing cytosine report for chromosome NW_026963423.1 (stored 197 different covered positions)
Writing cytosine report for chromosome NW_026963424.1 (stored 1440 different covered positions)
Writing cytosine report for chromosome NW_026963425.1 (stored 26 different covered positions)
Writing cytosine report for chromosome NW_026963426.1 (stored 76 different covered positions)
Writing cytosine report for chromosome NW_026963427.1 (stored 2292 different covered positions)
Writing cytosine report for chromosome NW_026963428.1 (stored 76 different covered positions)
Writing cytosine report for chromosome NW_026963429.1 (stored 93 different covered positions)
Writing cytosine report for chromosome NW_026963430.1 (stored 616 different covered positions)
Writing cytosine report for chromosome NW_026963431.1 (stored 406 different covered positions)
Writing cytosine report for chromosome NW_026963432.1 (stored 335 different covered positions)
Writing cytosine report for chromosome NW_026963433.1 (stored 486 different covered positions)
Writing cytosine report for chromosome NW_026963434.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963435.1 (stored 714 different covered positions)
Writing cytosine report for chromosome NW_026963436.1 (stored 2153 different covered positions)
Writing cytosine report for chromosome NW_026963437.1 (stored 369 different covered positions)
Writing cytosine report for chromosome NW_026963438.1 (stored 129 different covered positions)
Writing cytosine report for chromosome NW_026963439.1 (stored 193 different covered positions)
Writing cytosine report for chromosome NW_026963440.1 (stored 48 different covered positions)
Writing cytosine report for chromosome NW_026963441.1 (stored 143 different covered positions)
Writing cytosine report for chromosome NW_026963442.1 (stored 698 different covered positions)
Writing cytosine report for chromosome NW_026963443.1 (stored 840 different covered positions)
Writing cytosine report for chromosome NW_026963444.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963445.1 (stored 1632 different covered positions)
Writing cytosine report for chromosome NW_026963446.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963447.1 (stored 1620 different covered positions)
Writing cytosine report for chromosome NW_026963448.1 (stored 961 different covered positions)
Writing cytosine report for chromosome NW_026963449.1 (stored 173 different covered positions)
Writing cytosine report for chromosome NW_026963450.1 (stored 81 different covered positions)
Writing cytosine report for chromosome NW_026963451.1 (stored 43 different covered positions)
Writing cytosine report for chromosome NW_026963452.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963453.1 (stored 200 different covered positions)
Writing cytosine report for chromosome NW_026963455.1 (stored 1521 different covered positions)
Writing cytosine report for chromosome NW_026963456.1 (stored 139 different covered positions)
Writing cytosine report for chromosome NW_026963457.1 (stored 115 different covered positions)
Writing cytosine report for chromosome NW_026963458.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963459.1 (stored 142 different covered positions)
Writing cytosine report for chromosome NW_026963460.1 (stored 20 different covered positions)
Writing cytosine report for chromosome NW_026963461.1 (stored 3130 different covered positions)
Writing cytosine report for chromosome NW_026963462.1 (stored 1117 different covered positions)
Writing cytosine report for chromosome NW_026963463.1 (stored 13 different covered positions)
Writing cytosine report for chromosome NW_026963467.1 (stored 41 different covered positions)
Writing cytosine report for chromosome NW_026963468.1 (stored 16 different covered positions)
Writing cytosine report for chromosome NW_026963470.1 (stored 1736 different covered positions)
Writing cytosine report for chromosome NW_026963471.1 (stored 1400 different covered positions)
Writing cytosine report for chromosome NW_026963472.1 (stored 106 different covered positions)
Writing cytosine report for chromosome NW_026963473.1 (stored 362 different covered positions)
Writing cytosine report for chromosome NW_026963474.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963475.1 (stored 1942 different covered positions)
Writing cytosine report for chromosome NW_026963476.1 (stored 186 different covered positions)
Writing cytosine report for chromosome NW_026963477.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963479.1 (stored 88 different covered positions)
Writing cytosine report for chromosome NW_026963480.1 (stored 809 different covered positions)
Writing cytosine report for chromosome NW_026963481.1 (stored 383 different covered positions)
Writing cytosine report for chromosome NW_026963482.1 (stored 16 different covered positions)
Writing cytosine report for chromosome NW_026963484.1 (stored 76 different covered positions)
Writing cytosine report for chromosome NW_026963486.1 (stored 162 different covered positions)
Writing cytosine report for chromosome NW_026963487.1 (stored 124 different covered positions)
Writing cytosine report for chromosome NW_026963488.1 (stored 7 different covered positions)
Writing cytosine report for chromosome NW_026963489.1 (stored 117 different covered positions)
Writing cytosine report for chromosome NW_026963490.1 (stored 32 different covered positions)
Writing cytosine report for chromosome NW_026963491.1 (stored 81 different covered positions)
Writing cytosine report for chromosome NW_026963492.1 (stored 50 different covered positions)
Writing cytosine report for chromosome NW_026963493.1 (stored 1161 different covered positions)
Writing cytosine report for chromosome NW_026963494.1 (stored 997 different covered positions)
Writing cytosine report for chromosome NW_026963495.1 (stored 1505 different covered positions)
Writing cytosine report for chromosome NW_026963496.1 (stored 55 different covered positions)
Writing cytosine report for chromosome NW_026963497.1 (stored 15 different covered positions)
Writing cytosine report for chromosome NW_026963498.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963499.1 (stored 23 different covered positions)
Writing cytosine report for chromosome NW_026963500.1 (stored 1808 different covered positions)
Writing cytosine report for chromosome NW_026963501.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963502.1 (stored 1506 different covered positions)
Writing cytosine report for chromosome NW_026963503.1 (stored 154 different covered positions)
Writing cytosine report for chromosome NW_026963504.1 (stored 21 different covered positions)
Writing cytosine report for chromosome NW_026963505.1 (stored 2303 different covered positions)
Writing cytosine report for chromosome NW_026963506.1 (stored 208 different covered positions)
Writing cytosine report for chromosome NW_026963507.1 (stored 100 different covered positions)
Writing cytosine report for chromosome NW_026963508.1 (stored 173 different covered positions)
Writing cytosine report for chromosome NW_026963509.1 (stored 131 different covered positions)
Writing cytosine report for chromosome NW_026963512.1 (stored 148 different covered positions)
Writing cytosine report for chromosome NW_026963513.1 (stored 95 different covered positions)
Writing cytosine report for chromosome NW_026963514.1 (stored 1048 different covered positions)
Writing cytosine report for chromosome NW_026963515.1 (stored 22 different covered positions)
Writing cytosine report for chromosome NW_026963516.1 (stored 42 different covered positions)
Writing cytosine report for chromosome NW_026963517.1 (stored 11 different covered positions)
Writing cytosine report for chromosome NW_026963518.1 (stored 1175 different covered positions)
Writing cytosine report for chromosome NW_026963519.1 (stored 1976 different covered positions)
Writing cytosine report for chromosome NW_026963520.1 (stored 75 different covered positions)
Writing cytosine report for chromosome NW_026963521.1 (stored 29 different covered positions)
Writing cytosine report for chromosome NW_026963523.1 (stored 165 different covered positions)
Writing cytosine report for chromosome NW_026963524.1 (stored 261 different covered positions)
Writing cytosine report for chromosome NW_026963525.1 (stored 26 different covered positions)
Writing cytosine report for chromosome NW_026963526.1 (stored 10 different covered positions)
Writing cytosine report for chromosome NW_026963527.1 (stored 38 different covered positions)
Writing cytosine report for chromosome NW_026963528.1 (stored 49 different covered positions)
Writing cytosine report for chromosome NW_026963530.1 (stored 280 different covered positions)
Writing cytosine report for chromosome NW_026963531.1 (stored 134 different covered positions)
Writing cytosine report for chromosome NW_026963532.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963533.1 (stored 1267 different covered positions)
Writing cytosine report for chromosome NW_026963534.1 (stored 281 different covered positions)
Writing cytosine report for chromosome NW_026963535.1 (stored 23 different covered positions)
Writing cytosine report for chromosome NW_026963537.1 (stored 1668 different covered positions)
Writing cytosine report for chromosome NW_026963538.1 (stored 81 different covered positions)
Writing cytosine report for chromosome NW_026963539.1 (stored 17 different covered positions)
Writing cytosine report for chromosome NW_026963540.1 (stored 24 different covered positions)
Writing cytosine report for chromosome NW_026963541.1 (stored 801 different covered positions)
Writing cytosine report for chromosome NW_026963542.1 (stored 456 different covered positions)
Writing cytosine report for chromosome NW_026963543.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963544.1 (stored 205 different covered positions)
Writing cytosine report for chromosome NW_026963545.1 (stored 27 different covered positions)
Writing cytosine report for chromosome NW_026963546.1 (stored 180 different covered positions)
Writing cytosine report for chromosome NW_026963547.1 (stored 11 different covered positions)
Writing cytosine report for chromosome NW_026963548.1 (stored 1598 different covered positions)
Writing cytosine report for chromosome NW_026963549.1 (stored 1302 different covered positions)
Writing cytosine report for chromosome NW_026963550.1 (stored 196 different covered positions)
Writing cytosine report for chromosome NW_026963551.1 (stored 40 different covered positions)
Writing cytosine report for chromosome NW_026963552.1 (stored 67 different covered positions)
Writing cytosine report for chromosome NW_026963553.1 (stored 2933 different covered positions)
Writing cytosine report for chromosome NW_026963554.1 (stored 1613 different covered positions)
Writing cytosine report for chromosome NW_026963555.1 (stored 979 different covered positions)
Writing cytosine report for chromosome NW_026963556.1 (stored 86 different covered positions)
Writing cytosine report for chromosome NW_026963557.1 (stored 74 different covered positions)
Writing cytosine report for chromosome NW_026963558.1 (stored 49 different covered positions)
Writing cytosine report for chromosome NW_026963559.1 (stored 1495 different covered positions)
Writing cytosine report for chromosome NW_026963560.1 (stored 1489 different covered positions)
Writing cytosine report for chromosome NW_026963561.1 (stored 20 different covered positions)
Writing cytosine report for chromosome NW_026963562.1 (stored 20 different covered positions)
Writing cytosine report for chromosome NW_026963563.1 (stored 88 different covered positions)
Writing cytosine report for chromosome NW_026963564.1 (stored 786 different covered positions)
Writing cytosine report for chromosome NW_026963565.1 (stored 8 different covered positions)
Writing cytosine report for chromosome NW_026963567.1 (stored 328 different covered positions)
Writing cytosine report for chromosome NW_026963568.1 (stored 1423 different covered positions)
Writing cytosine report for chromosome NW_026963569.1 (stored 97 different covered positions)
Writing cytosine report for chromosome NW_026963570.1 (stored 1935 different covered positions)
Writing cytosine report for chromosome NW_026963571.1 (stored 102 different covered positions)
Writing cytosine report for chromosome NW_026963572.1 (stored 230 different covered positions)
Writing cytosine report for chromosome NW_026963573.1 (stored 1934 different covered positions)
Writing cytosine report for chromosome NW_026963574.1 (stored 34 different covered positions)
Writing cytosine report for chromosome NW_026963575.1 (stored 2669 different covered positions)
Writing cytosine report for chromosome NW_026963576.1 (stored 2204 different covered positions)
Writing cytosine report for chromosome NW_026963577.1 (stored 171 different covered positions)
Writing cytosine report for chromosome NW_026963579.1 (stored 283 different covered positions)
Writing cytosine report for chromosome NW_026963580.1 (stored 22 different covered positions)
Writing cytosine report for chromosome NW_026963581.1 (stored 1914 different covered positions)
Writing cytosine report for chromosome NW_026963582.1 (stored 277 different covered positions)
Writing cytosine report for chromosome NW_026963583.1 (stored 136 different covered positions)
Writing cytosine report for chromosome NW_026963584.1 (stored 65 different covered positions)
Writing cytosine report for chromosome NW_026963585.1 (stored 464 different covered positions)
Writing cytosine report for chromosome NW_026963587.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963588.1 (stored 365 different covered positions)
Writing cytosine report for chromosome NW_026963589.1 (stored 7 different covered positions)
Writing cytosine report for chromosome NW_026963590.1 (stored 14 different covered positions)
Writing cytosine report for chromosome NW_026963591.1 (stored 147 different covered positions)
Writing cytosine report for chromosome NW_026963593.1 (stored 1190 different covered positions)
Writing cytosine report for chromosome NW_026963594.1 (stored 27 different covered positions)
Writing cytosine report for chromosome NW_026963595.1 (stored 822 different covered positions)
Writing cytosine report for chromosome NW_026963596.1 (stored 1157 different covered positions)
Writing cytosine report for chromosome NW_026963598.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963599.1 (stored 161 different covered positions)
Writing cytosine report for chromosome NW_026963600.1 (stored 85 different covered positions)
Writing cytosine report for chromosome NW_026963601.1 (stored 2185 different covered positions)
Writing cytosine report for chromosome NW_026963603.1 (stored 2050 different covered positions)
Writing cytosine report for chromosome NW_026963604.1 (stored 8 different covered positions)
Writing cytosine report for chromosome NW_026963605.1 (stored 167 different covered positions)
Writing cytosine report for chromosome NW_026963607.1 (stored 415 different covered positions)
Writing cytosine report for chromosome NW_026963608.1 (stored 284 different covered positions)
Writing cytosine report for chromosome NW_026963609.1 (stored 336 different covered positions)
Writing cytosine report for chromosome NW_026963610.1 (stored 338 different covered positions)
Writing cytosine report for chromosome NW_026963611.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963612.1 (stored 10 different covered positions)
Writing cytosine report for chromosome NW_026963613.1 (stored 23 different covered positions)
Writing cytosine report for chromosome NW_026963614.1 (stored 1088 different covered positions)
Writing cytosine report for chromosome NW_026963617.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963618.1 (stored 42 different covered positions)
Writing cytosine report for chromosome NW_026963620.1 (stored 1203 different covered positions)
Writing cytosine report for chromosome NW_026963621.1 (stored 1143 different covered positions)
Writing cytosine report for chromosome NW_026963622.1 (stored 2 different covered positions)
Writing cytosine report for chromosome NW_026963623.1 (stored 1238 different covered positions)
Writing cytosine report for chromosome NW_026963624.1 (stored 89 different covered positions)
Writing cytosine report for chromosome NW_026963625.1 (stored 1720 different covered positions)
Writing cytosine report for chromosome NW_026963626.1 (stored 87 different covered positions)
Writing cytosine report for chromosome NW_026963627.1 (stored 19 different covered positions)
Writing cytosine report for chromosome NW_026963628.1 (stored 31 different covered positions)
Writing cytosine report for chromosome NW_026963629.1 (stored 1865 different covered positions)
Writing cytosine report for chromosome NW_026963631.1 (stored 1038 different covered positions)
Writing cytosine report for chromosome NW_026963632.1 (stored 40 different covered positions)
Writing cytosine report for chromosome NW_026963633.1 (stored 182 different covered positions)
Writing cytosine report for chromosome NW_026963634.1 (stored 1069 different covered positions)
Writing cytosine report for chromosome NW_026963635.1 (stored 251 different covered positions)
Writing cytosine report for chromosome NW_026963636.1 (stored 1467 different covered positions)
Writing cytosine report for chromosome NW_026963637.1 (stored 58 different covered positions)
Writing cytosine report for chromosome NW_026963638.1 (stored 1581 different covered positions)
Writing cytosine report for chromosome NW_026963639.1 (stored 1491 different covered positions)
Writing cytosine report for chromosome NW_026963640.1 (stored 14 different covered positions)
Writing cytosine report for chromosome NW_026963641.1 (stored 76 different covered positions)
Writing cytosine report for chromosome NW_026963642.1 (stored 1514 different covered positions)
Writing cytosine report for chromosome NW_026963644.1 (stored 155 different covered positions)
Writing cytosine report for chromosome NW_026963645.1 (stored 36 different covered positions)
Writing cytosine report for chromosome NW_026963646.1 (stored 1597 different covered positions)
Writing cytosine report for chromosome NW_026963647.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963648.1 (stored 34 different covered positions)
Writing cytosine report for chromosome NW_026963649.1 (stored 26 different covered positions)
Writing cytosine report for chromosome NW_026963650.1 (stored 1431 different covered positions)
Writing cytosine report for chromosome NW_026963652.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963653.1 (stored 439 different covered positions)
Writing cytosine report for chromosome NW_026963654.1 (stored 15 different covered positions)
Writing cytosine report for chromosome NW_026963655.1 (stored 1063 different covered positions)
Writing cytosine report for chromosome NW_026963656.1 (stored 56 different covered positions)
Writing cytosine report for chromosome NW_026963657.1 (stored 105 different covered positions)
Writing cytosine report for chromosome NW_026963658.1 (stored 1039 different covered positions)
Writing cytosine report for chromosome NW_026963659.1 (stored 28 different covered positions)
Writing cytosine report for chromosome NW_026963660.1 (stored 39 different covered positions)
Writing cytosine report for chromosome NW_026963661.1 (stored 1404 different covered positions)
Writing cytosine report for chromosome NW_026963662.1 (stored 376 different covered positions)
Writing cytosine report for chromosome NW_026963663.1 (stored 1320 different covered positions)
Writing cytosine report for chromosome NW_026963664.1 (stored 49 different covered positions)
Writing cytosine report for chromosome NW_026963665.1 (stored 20 different covered positions)
Writing cytosine report for chromosome NW_026963666.1 (stored 21 different covered positions)
Writing cytosine report for chromosome NW_026963667.1 (stored 1863 different covered positions)
Writing cytosine report for chromosome NW_026963668.1 (stored 1180 different covered positions)
Writing cytosine report for chromosome NW_026963669.1 (stored 7032 different covered positions)
Writing cytosine report for chromosome NW_026963670.1 (stored 365 different covered positions)
Writing cytosine report for chromosome NW_026963671.1 (stored 1600 different covered positions)
Writing cytosine report for chromosome NW_026963672.1 (stored 29 different covered positions)
Writing cytosine report for chromosome NW_026963673.1 (stored 24 different covered positions)
Writing cytosine report for chromosome NW_026963674.1 (stored 61 different covered positions)
Writing cytosine report for chromosome NW_026963675.1 (stored 946 different covered positions)
Writing cytosine report for chromosome NW_026963676.1 (stored 105 different covered positions)
Writing cytosine report for chromosome NW_026963677.1 (stored 181 different covered positions)
Writing cytosine report for chromosome NW_026963679.1 (stored 50 different covered positions)
Writing cytosine report for chromosome NW_026963680.1 (stored 11 different covered positions)
Writing cytosine report for chromosome NW_026963681.1 (stored 26 different covered positions)
Writing cytosine report for chromosome NW_026963682.1 (stored 227 different covered positions)
Writing cytosine report for chromosome NW_026963683.1 (stored 597 different covered positions)
Writing cytosine report for chromosome NW_026963684.1 (stored 309 different covered positions)
Writing cytosine report for chromosome NW_026963685.1 (stored 114 different covered positions)
Writing cytosine report for chromosome NW_026963686.1 (stored 265 different covered positions)
Writing cytosine report for chromosome NW_026963687.1 (stored 99 different covered positions)
Writing cytosine report for chromosome NW_026963688.1 (stored 907 different covered positions)
Writing cytosine report for chromosome NW_026963689.1 (stored 49 different covered positions)
Writing cytosine report for chromosome NW_026963690.1 (stored 981 different covered positions)
Writing cytosine report for chromosome NW_026963691.1 (stored 277 different covered positions)
Writing cytosine report for chromosome NW_026963692.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963693.1 (stored 1394 different covered positions)
Writing cytosine report for chromosome NW_026963694.1 (stored 15 different covered positions)
Writing cytosine report for chromosome NW_026963695.1 (stored 239 different covered positions)
Writing cytosine report for chromosome NW_026963696.1 (stored 61 different covered positions)
Writing cytosine report for chromosome NW_026963697.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963698.1 (stored 27 different covered positions)
Writing cytosine report for chromosome NW_026963699.1 (stored 7 different covered positions)
Writing cytosine report for chromosome NW_026963700.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963701.1 (stored 3829 different covered positions)
Writing cytosine report for chromosome NW_026963702.1 (stored 8 different covered positions)
Writing cytosine report for chromosome NW_026963703.1 (stored 9 different covered positions)
Writing cytosine report for chromosome NW_026963704.1 (stored 1761 different covered positions)
Writing cytosine report for chromosome NW_026963705.1 (stored 12 different covered positions)
Writing cytosine report for chromosome NW_026963706.1 (stored 1891 different covered positions)
Writing cytosine report for chromosome NW_026963707.1 (stored 1019 different covered positions)
Writing cytosine report for chromosome NW_026963708.1 (stored 220 different covered positions)
Writing cytosine report for chromosome NW_026963709.1 (stored 1504 different covered positions)
Writing cytosine report for chromosome NW_026963710.1 (stored 197 different covered positions)
Writing cytosine report for chromosome NW_026963711.1 (stored 2206 different covered positions)
Writing cytosine report for chromosome NW_026963712.1 (stored 72 different covered positions)
Writing cytosine report for chromosome NW_026963713.1 (stored 39 different covered positions)
Writing cytosine report for chromosome NW_026963715.1 (stored 391 different covered positions)
Writing cytosine report for chromosome NW_026963716.1 (stored 933 different covered positions)
Writing cytosine report for chromosome NW_026963717.1 (stored 125 different covered positions)
Writing cytosine report for chromosome NW_026963718.1 (stored 26 different covered positions)
Writing cytosine report for chromosome NW_026963719.1 (stored 2075 different covered positions)
Writing cytosine report for chromosome NW_026963720.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963721.1 (stored 1028 different covered positions)
Writing cytosine report for chromosome NW_026963722.1 (stored 1216 different covered positions)
Writing cytosine report for chromosome NW_026963723.1 (stored 88 different covered positions)
Writing cytosine report for chromosome NW_026963725.1 (stored 3415 different covered positions)
Writing cytosine report for chromosome NW_026963726.1 (stored 561 different covered positions)
Writing cytosine report for chromosome NW_026963727.1 (stored 10 different covered positions)
Writing cytosine report for chromosome NW_026963728.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963730.1 (stored 2506 different covered positions)
Writing cytosine report for chromosome NW_026963731.1 (stored 233 different covered positions)
Writing cytosine report for chromosome NW_026963732.1 (stored 144 different covered positions)
Writing cytosine report for chromosome NW_026963733.1 (stored 9 different covered positions)
Writing cytosine report for chromosome NW_026963734.1 (stored 13 different covered positions)
Writing cytosine report for chromosome NW_026963735.1 (stored 1958 different covered positions)
Writing cytosine report for chromosome NW_026963736.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963737.1 (stored 6 different covered positions)
Writing cytosine report for chromosome NW_026963738.1 (stored 1128 different covered positions)
Writing cytosine report for chromosome NW_026963739.1 (stored 929 different covered positions)
Writing cytosine report for chromosome NW_026963741.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963742.1 (stored 1307 different covered positions)
Writing cytosine report for chromosome NW_026963743.1 (stored 2034 different covered positions)
Writing cytosine report for chromosome NW_026963744.1 (stored 28 different covered positions)
Writing cytosine report for chromosome NW_026963745.1 (stored 1241 different covered positions)
Writing cytosine report for chromosome NW_026963746.1 (stored 2324 different covered positions)
Writing cytosine report for chromosome NW_026963747.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963748.1 (stored 58 different covered positions)
Writing cytosine report for chromosome NW_026963749.1 (stored 45 different covered positions)
Writing cytosine report for chromosome NW_026963750.1 (stored 4 different covered positions)
Writing cytosine report for chromosome NW_026963751.1 (stored 55 different covered positions)
Writing cytosine report for chromosome NW_026963752.1 (stored 155 different covered positions)
Writing cytosine report for chromosome NW_026963753.1 (stored 2612 different covered positions)
Writing cytosine report for chromosome NW_026963754.1 (stored 1060 different covered positions)
Writing cytosine report for chromosome NW_026963755.1 (stored 1416 different covered positions)
Writing cytosine report for chromosome NW_026963756.1 (stored 31 different covered positions)
Writing cytosine report for chromosome NW_026963757.1 (stored 3 different covered positions)
Writing cytosine report for chromosome NW_026963758.1 (stored 120 different covered positions)
Writing cytosine report for chromosome NW_026963759.1 (stored 1260 different covered positions)
Writing cytosine report for chromosome NW_026963760.1 (stored 21 different covered positions)
Writing cytosine report for chromosome NW_026963761.1 (stored 100 different covered positions)
Writing cytosine report for chromosome NW_026963762.1 (stored 17 different covered positions)
Writing cytosine report for chromosome NW_026963764.1 (stored 1399 different covered positions)
Writing cytosine report for chromosome NW_026963765.1 (stored 7 different covered positions)
Writing cytosine report for chromosome NW_026963766.1 (stored 1143 different covered positions)
Writing cytosine report for chromosome NW_026963767.1 (stored 1 different covered positions)
Writing cytosine report for chromosome NW_026963768.1 (stored 131 different covered positions)
Writing cytosine report for chromosome NW_026963769.1 (stored 8 different covered positions)
Writing cytosine report for chromosome NW_026963770.1 (stored 5 different covered positions)
Writing cytosine report for chromosome NW_026963771.1 (stored 2081 different covered positions)
Writing cytosine report for chromosome NW_026963772.1 (stored 1718 different covered positions)
Writing cytosine report for chromosome NW_026963773.1 (stored 130 different covered positions)
Writing cytosine report for chromosome NW_026963776.1 (stored 2 different covered positions)
Writing cytosine report for chromosome NW_026963777.1 (stored 978 different covered positions)
Writing cytosine report for chromosome NW_026963778.1 (stored 1417 different covered positions)
Writing cytosine report for chromosome NW_026963779.1 (stored 20 different covered positions)
Writing cytosine report for chromosome NW_026963780.1 (stored 151 different covered positions)
